"filename", "language", "Makefile", "C", "C++", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/EXT2/ext2.h", "C++", 0, 0, 129, 0, 7, 136
"/home/iago/Área de Trabalho/SO/Projeto 02/ListDirEntry/listDirEntry.c", "C", 0, 88, 0, 11, 30, 129
"/home/iago/Área de Trabalho/SO/Projeto 02/ListDirEntry/listDirEntry.h", "C++", 0, 0, 21, 0, 4, 25
"/home/iago/Área de Trabalho/SO/Projeto 02/Makefile", "Makefile", 22, 0, 0, 0, 1, 23
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.c", "C", 0, 41, 0, 8, 15, 64
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.h", "C++", 0, 0, 22, 0, 5, 27
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.c", "C", 0, 9, 0, 0, 4, 13
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.h", "C++", 0, 0, 5, 0, 4, 9
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.h", "C++", 0, 0, 8, 0, 3, 11
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cp/cp.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cp/cp.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/help/help.c", "C", 0, 18, 0, 0, 15, 33
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/help/help.h", "C++", 0, 0, 4, 3, 2, 9
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/info/info.c", "C", 0, 32, 0, 0, 2, 34
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/info/info.h", "C++", 0, 0, 6, 0, 2, 8
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mkdir/mkdir.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mkdir/mkdir.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mv/mv.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mv/mv.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.c", "C", 0, 1, 0, 0, 1, 2
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.h", "C++", 0, 0, 6, 0, 3, 9
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rename/rename.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rename/rename.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rm/rm.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rm/rm.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rmdir/rmdir.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rmdir/rmdir.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/touch/touch.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/touch/touch.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 0, 132, 0, 33, 21, 186
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 0, 282, 0, 4, 27, 313
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.h", "C++", 0, 0, 32, 1, 5, 38
"Total", "-", 22, 603, 233, 60, 170, 1088
