"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/ListDirEntry/listDirEntry.c", "C", -11, 0, -3, -1, -15
"/home/iago/Área de Trabalho/SO/Projeto 02/ListDirEntry/listDirEntry.h", "C++", 0, -2, 0, 0, -2
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.h", "C++", 0, -2, 0, 0, -2
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.c", "C", -35, 0, 0, -1, -36
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.h", "C++", 0, -2, 0, -1, -3
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.c", "C", 5, 0, 0, 1, 6
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.c", "C", 65, 0, 10, 19, 94
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.h", "C++", 0, -1, 0, 0, -1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.c", "C", 20, 0, 2, 5, 27
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.h", "C++", 0, 3, 0, 1, 4
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.c", "C", 13, 0, 0, 2, 15
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 10, 0, -7, 1, 4
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 9, 0, 1, 2, 12
"Total", "-", 76, -4, 3, 28, 103
