"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/EXT2/ext2.h", "C", 129, 0, 0, 0, 7, 136
"/home/iago/Área de Trabalho/SO/Projeto 02/ListDirEntry/listDirEntry.c", "C", 77, 0, 0, 8, 29, 114
"/home/iago/Área de Trabalho/SO/Projeto 02/ListDirEntry/listDirEntry.h", "C++", 0, 0, 19, 0, 4, 23
"/home/iago/Área de Trabalho/SO/Projeto 02/Makefile", "Makefile", 0, 22, 0, 0, 1, 23
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.c", "C", 41, 0, 0, 8, 15, 64
"/home/iago/Área de Trabalho/SO/Projeto 02/StackDirectory/stackDirectory.h", "C++", 0, 0, 20, 0, 5, 25
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.c", "C", 55, 0, 0, 3, 15, 73
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.h", "C++", 0, 0, 3, 0, 3, 6
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.c", "C", 14, 0, 0, 0, 5, 19
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.h", "C", 4, 0, 0, 0, 3, 7
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.c", "C", 65, 0, 0, 10, 20, 95
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.h", "C++", 0, 0, 7, 0, 3, 10
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cp/cp.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cp/cp.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/help/help.c", "C", 18, 0, 0, 0, 15, 33
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/help/help.h", "C++", 0, 0, 4, 3, 2, 9
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/info/info.c", "C", 32, 0, 0, 0, 2, 34
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/info/info.h", "C++", 0, 0, 6, 0, 2, 8
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.c", "C", 20, 0, 0, 2, 6, 28
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.h", "C++", 0, 0, 3, 0, 2, 5
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mkdir/mkdir.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mkdir/mkdir.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mv/mv.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mv/mv.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.c", "C", 14, 0, 0, 0, 3, 17
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.h", "C++", 0, 0, 6, 0, 3, 9
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rename/rename.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rename/rename.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rm/rm.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rm/rm.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rmdir/rmdir.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rmdir/rmdir.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/touch/touch.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/touch/touch.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 143, 0, 0, 25, 22, 190
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 325, 0, 0, 3, 40, 368
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.h", "C++", 0, 0, 35, 1, 5, 41
"Total", "-", 937, 22, 103, 63, 226, 1351
